Date	End Time	Global Solar	Incident Solar	AC Primary Load	PV Power	AC Prim. Served	Excess Electricity	Unmet Load	Inverter Input Power	Inverter Output Power	Rectifier Input Power	Rectifier Output Power	Battery Input Power	Battery State of Charge	Battery Energy Cost
		kW/m2	kW/m2	kW	kW	kW	kW	kW	kW	kW	kW	kW	kW	%	$/kWh
Jan 1	1:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	100.000	0.000
Jan 1	2:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	100.000	0.000
Jan 1	3:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	100.000	0.000
Jan 1	4:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	100.000	0.000
Jan 1	5:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	100.000	0.000
Jan 1	6:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	100.000	0.000
Jan 1	7:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	100.000	0.000
Jan 1	8:00	0.022	0.022	0.000	0.003	0.000	0.003	0.000	0.000	0.000	0.000	0.000	0.000	100.000	0.000
Jan 1	9:00	0.057	0.057	0.004	0.007	0.004	0.003	0.000	0.004	0.004	0.000	0.000	0.000	100.000	0.000
Jan 1	10:00	0.115	0.114	0.001	0.015	0.001	0.014	0.000	0.001	0.001	0.000	0.000	0.000	100.000	0.000
Jan 1	11:00	0.014	0.014	0.007	0.002	0.007	0.000	0.000	0.007	0.007	0.000	0.000	-0.006	99.445	0.000
Jan 1	12:00	0.007	0.007	0.011	0.001	0.011	0.000	0.000	0.013	0.011	0.000	0.000	-0.012	98.302	0.000
Jan 1	13:00	0.120	0.120	0.073	0.015	0.073	0.000	0.000	0.081	0.073	0.000	0.000	-0.066	91.847	0.000
Jan 1	14:00	0.110	0.110	0.039	0.014	0.039	0.000	0.000	0.044	0.039	0.000	0.000	-0.029	88.945	0.000
Jan 1	15:00	0.047	0.047	0.004	0.006	0.004	0.000	0.000	0.005	0.004	0.000	0.000	0.001	89.033	0.000
Jan 1	16:00	0.022	0.022	0.001	0.003	0.001	0.000	0.000	0.001	0.001	0.000	0.000	0.002	89.162	0.000
Jan 1	17:00	0.069	0.069	0.020	0.009	0.020	0.000	0.000	0.022	0.020	0.000	0.000	-0.013	87.858	0.000
Jan 1	18:00	0.048	0.048	0.008	0.006	0.008	0.000	0.000	0.009	0.008	0.000	0.000	-0.003	87.533	0.000
Jan 1	19:00	0.079	0.072	0.032	0.009	0.032	0.000	0.000	0.036	0.032	0.000	0.000	-0.026	84.934	0.000
Jan 1	20:00	0.000	0.000	0.059	0.000	0.059	0.000	0.000	0.066	0.059	0.000	0.000	-0.066	78.440	0.000
Jan 1	21:00	0.000	0.000	0.095	0.000	0.095	0.000	0.000	0.106	0.095	0.000	0.000	-0.106	68.028	0.000
Jan 1	22:00	0.000	0.000	0.089	0.000	0.089	0.000	0.000	0.099	0.089	0.000	0.000	-0.099	58.304	0.000
Jan 1	23:00	0.000	0.000	0.093	0.000	0.093	0.000	0.000	0.104	0.093	0.000	0.000	-0.104	48.110	0.000
Jan 2	0:00	0.000	0.000	0.062	0.000	0.062	0.000	0.000	0.069	0.062	0.000	0.000	-0.069	41.354	0.000
Jan 2	1:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	41.354	0.000
Jan 2	2:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	41.354	0.000
Jan 2	3:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	41.354	0.000
Jan 2	4:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	41.354	0.000
Jan 2	5:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	41.354	0.000
Jan 2	6:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	41.354	0.000
Jan 2	7:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	41.354	0.000
Jan 2	8:00	0.036	0.036	0.000	0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.005	41.715	0.000
