Max. Cap. Shortage (%)	PV (kW)	CP12240D	Converter (kW)	Initial capital	Operating cost ($/yr)	Total NPC	COE ($/kWh)	Renewable fraction	Capacity shortage	
0.0	0.12	2	0.1	$ 280	19	$ 520	1.537	1.00	0.00	
0.5	0.10	2	0.1	$ 260	19	$ 498	1.476	1.00	0.01	
1.0	0.10	2	0.1	$ 260	19	$ 498	1.476	1.00	0.01	
1.5	0.08	2	0.1	$ 240	18	$ 475	1.419	1.00	0.01	
2.0	0.08	2	0.1	$ 240	18	$ 475	1.419	1.00	0.01	
5.0	0.16	1	0.1	$ 270	13	$ 438	1.350	1.00	0.05	
10.0	0.06	1	0.1	$ 170	12	$ 321	1.035	1.00	0.10	
