Max. Cap. Shortage (%)	PV (kW)	CP12240D	Converter (kW)	Initial capital	Operating cost ($/yr)	Total NPC	COE ($/kWh)	Renewable fraction	Capacity shortage	
0.0	0.04	1	0.1	$ 150	10	$ 278	2.080	1.00	0.00	
0.5	0.04	1	0.1	$ 150	10	$ 278	2.080	1.00	0.00	
1.0	0.04	1	0.1	$ 150	10	$ 278	2.080	1.00	0.00	
1.5	0.04	1	0.1	$ 150	10	$ 278	2.080	1.00	0.00	
2.0	0.04	1	0.1	$ 150	10	$ 278	2.080	1.00	0.00	
5.0	0.02	1	0.1	$ 130	10	$ 255	1.947	1.00	0.02	
10.0	0.02	1	0.1	$ 130	10	$ 255	1.947	1.00	0.02	
