Max. Cap. Shortage (%)	PV (kW)	CP12240D	Converter (kW)	Initial capital	Operating cost ($/yr)	Total NPC	COE ($/kWh)	Renewable fraction	Capacity shortage	
0.0	0.08	3	0.1	$ 290	26	$ 627	3.237	1.00	0.00	
0.5	0.06	3	0.1	$ 270	26	$ 604	3.125	1.00	0.00	
1.0	0.12	2	0.1	$ 280	19	$ 520	2.712	1.00	0.01	
1.5	0.08	2	0.1	$ 240	18	$ 475	2.478	1.00	0.01	
2.0	0.06	2	0.1	$ 220	18	$ 452	2.371	1.00	0.02	
5.0	0.06	2	0.1	$ 220	18	$ 452	2.371	1.00	0.02	
10.0	0.06	1	0.1	$ 170	10	$ 300	1.674	1.00	0.08	
