Date	End Time	Global Solar	Incident Solar	AC Primary Load	PV Power	AC Prim. Served	Excess Electricity	Unmet Load	Inverter Input Power	Inverter Output Power	Rectifier Input Power	Rectifier Output Power	Battery Input Power	Battery State of Charge	Battery Energy Cost
		kW/m2	kW/m2	kW	kW	kW	kW	kW	kW	kW	kW	kW	kW	%	$/kWh
Jan 1	1:00	0.000	0.000	0.009	0.000	0.009	0.000	0.000	0.010	0.009	0.000	0.000	-0.010	97.987	0.000
Jan 1	2:00	0.000	0.000	0.009	0.000	0.009	0.000	0.000	0.010	0.009	0.000	0.000	-0.010	95.953	0.000
Jan 1	3:00	0.000	0.000	0.009	0.000	0.009	0.000	0.000	0.010	0.009	0.000	0.000	-0.010	93.918	0.000
Jan 1	4:00	0.000	0.000	0.007	0.000	0.007	0.000	0.000	0.007	0.007	0.000	0.000	-0.007	92.474	0.000
Jan 1	5:00	0.000	0.000	0.012	0.000	0.012	0.000	0.000	0.013	0.012	0.000	0.000	-0.013	89.871	0.000
Jan 1	6:00	0.000	0.000	0.009	0.000	0.009	0.000	0.000	0.010	0.009	0.000	0.000	-0.010	87.837	0.000
Jan 1	7:00	0.000	0.000	0.003	0.000	0.003	0.000	0.000	0.004	0.003	0.000	0.000	-0.004	87.093	0.000
Jan 1	8:00	0.022	0.022	0.000	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.002	87.421	0.000
Jan 1	9:00	0.057	0.057	0.000	0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.005	88.275	0.000
Jan 1	10:00	0.115	0.114	0.000	0.011	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.011	90.004	0.000
Jan 1	11:00	0.014	0.014	0.002	0.001	0.002	0.000	0.000	0.002	0.002	0.000	0.000	-0.001	89.853	0.000
Jan 1	12:00	0.007	0.007	0.002	0.001	0.002	0.000	0.000	0.002	0.002	0.000	0.000	-0.002	89.530	0.000
Jan 1	13:00	0.120	0.120	0.001	0.012	0.001	0.000	0.000	0.001	0.001	0.000	0.000	0.010	91.169	0.000
Jan 1	14:00	0.110	0.110	0.000	0.011	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.011	92.834	0.000
Jan 1	15:00	0.047	0.047	0.000	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.004	93.541	0.000
Jan 1	16:00	0.022	0.022	0.000	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.002	93.879	0.000
Jan 1	17:00	0.069	0.069	0.000	0.007	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.007	94.920	0.000
Jan 1	18:00	0.048	0.048	0.000	0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.005	95.644	0.000
Jan 1	19:00	0.079	0.072	0.000	0.007	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.007	96.712	0.000
Jan 1	20:00	0.000	0.000	0.005	0.000	0.005	0.000	0.000	0.006	0.005	0.000	0.000	-0.006	95.553	0.000
Jan 1	21:00	0.000	0.000	0.014	0.000	0.014	0.000	0.000	0.016	0.014	0.000	0.000	-0.016	92.446	0.000
Jan 1	22:00	0.000	0.000	0.014	0.000	0.014	0.000	0.000	0.015	0.014	0.000	0.000	-0.015	89.427	0.000
Jan 1	23:00	0.000	0.000	0.018	0.000	0.018	0.000	0.000	0.020	0.018	0.000	0.000	-0.020	85.577	0.000
Jan 2	0:00	0.000	0.000	0.012	0.000	0.012	0.000	0.000	0.013	0.012	0.000	0.000	-0.013	82.930	0.000
Jan 2	1:00	0.000	0.000	0.011	0.000	0.011	0.000	0.000	0.012	0.011	0.000	0.000	-0.012	80.589	0.000
Jan 2	2:00	0.000	0.000	0.010	0.000	0.010	0.000	0.000	0.011	0.010	0.000	0.000	-0.011	78.445	0.000
Jan 2	3:00	0.000	0.000	0.009	0.000	0.009	0.000	0.000	0.010	0.009	0.000	0.000	-0.010	76.411	0.000
Jan 2	4:00	0.000	0.000	0.004	0.000	0.004	0.000	0.000	0.005	0.004	0.000	0.000	-0.005	75.470	0.000
Jan 2	5:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	75.470	0.000
Jan 2	6:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	75.470	0.000
Jan 2	7:00	0.000	0.000	0.003	0.000	0.003	0.000	0.000	0.004	0.003	0.000	0.000	-0.004	74.748	0.000
Jan 2	8:00	0.036	0.036	0.011	0.003	0.011	0.000	0.000	0.012	0.011	0.000	0.000	-0.008	73.106	0.000
Jan 2	9:00	0.134	0.133	0.001	0.013	0.001	0.000	0.000	0.001	0.001	0.000	0.000	0.012	74.928	0.000
Jan 2	10:00	0.319	0.315	0.000	0.030	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.030	79.682	0.000
Jan 2	11:00	0.643	0.619	0.005	0.059	0.005	0.000	0.000	0.005	0.005	0.000	0.000	0.054	88.252	0.000
Jan 2	12:00	0.914	0.878	0.004	0.084	0.004	0.041	0.000	0.004	0.004	0.000	0.000	0.039	94.447	0.000
Jan 2	13:00	1.010	0.972	0.005	0.093	0.005	0.070	0.000	0.005	0.005	0.000	0.000	0.018	97.262	0.000
Jan 2	14:00	0.905	0.873	0.001	0.084	0.001	0.074	0.000	0.001	0.001	0.000	0.000	0.009	98.650	0.000
Jan 2	15:00	0.981	0.942	0.003	0.090	0.003	0.082	0.000	0.004	0.003	0.000	0.000	0.004	99.335	0.000
Jan 2	16:00	0.662	0.636	0.003	0.061	0.003	0.056	0.000	0.003	0.003	0.000	0.000	0.002	99.672	0.000
Jan 2	17:00	0.179	0.178	0.000	0.017	0.000	0.016	0.000	0.000	0.000	0.000	0.000	0.001	99.838	0.000
Jan 2	18:00	0.233	0.224	0.000	0.022	0.000	0.021	0.000	0.000	0.000	0.000	0.000	0.001	99.920	0.000
Jan 2	19:00	0.083	0.075	0.000	0.007	0.000	0.007	0.000	0.000	0.000	0.000	0.000	0.000	99.961	0.000
Jan 2	20:00	0.000	0.000	0.001	0.000	0.001	0.000	0.000	0.001	0.001	0.000	0.000	-0.001	99.851	0.000
Jan 2	21:00	0.000	0.000	0.007	0.000	0.007	0.000	0.000	0.007	0.007	0.000	0.000	-0.007	98.407	0.000
Jan 2	22:00	0.000	0.000	0.007	0.000	0.007	0.000	0.000	0.008	0.007	0.000	0.000	-0.008	96.920	0.000
Jan 2	23:00	0.000	0.000	0.022	0.000	0.022	0.000	0.000	0.024	0.022	0.000	0.000	-0.024	92.173	0.000
Jan 3	0:00	0.000	0.000	0.012	0.000	0.012	0.000	0.000	0.014	0.012	0.000	0.000	-0.014	89.460	0.000
Jan 3	1:00	0.000	0.000	0.011	0.000	0.011	0.000	0.000	0.012	0.011	0.000	0.000	-0.012	87.141	0.000
Jan 3	2:00	0.000	0.000	0.010	0.000	0.010	0.000	0.000	0.011	0.010	0.000	0.000	-0.011	84.888	0.000
Jan 3	3:00	0.000	0.000	0.010	0.000	0.010	0.000	0.000	0.011	0.010	0.000	0.000	-0.011	82.634	0.000
Jan 3	4:00	0.000	0.000	0.010	0.000	0.010	0.000	0.000	0.011	0.010	0.000	0.000	-0.011	80.403	0.000
Jan 3	5:00	0.000	0.000	0.011	0.000	0.011	0.000	0.000	0.012	0.011	0.000	0.000	-0.012	78.084	0.000
Jan 3	6:00	0.000	0.000	0.010	0.000	0.010	0.000	0.000	0.011	0.010	0.000	0.000	-0.011	75.831	0.000
Jan 3	7:00	0.000	0.000	0.006	0.000	0.006	0.000	0.000	0.007	0.006	0.000	0.000	-0.007	74.496	0.000
Jan 3	8:00	0.116	0.088	0.000	0.008	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.008	75.823	0.000
Jan 3	9:00	0.322	0.296	0.000	0.028	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.028	80.300	0.000
Jan 3	10:00	0.518	0.491	0.000	0.047	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.047	87.720	0.000
Jan 3	11:00	0.842	0.803	0.000	0.077	0.000	0.036	0.000	0.000	0.000	0.000	0.000	0.042	94.260	0.000
Jan 3	12:00	1.062	1.019	0.000	0.098	0.000	0.079	0.000	0.000	0.000	0.000	0.000	0.018	97.170	0.000
Jan 3	13:00	1.155	1.112	0.000	0.107	0.000	0.098	0.000	0.000	0.000	0.000	0.000	0.009	98.605	0.000
Jan 3	14:00	1.155	1.111	0.000	0.107	0.000	0.102	0.000	0.000	0.000	0.000	0.000	0.004	99.312	0.000
Jan 3	15:00	1.030	0.988	0.002	0.095	0.002	0.090	0.000	0.002	0.002	0.000	0.000	0.002	99.661	0.000
Jan 3	16:00	0.775	0.740	0.002	0.071	0.002	0.068	0.000	0.002	0.002	0.000	0.000	0.001	99.833	0.000
Jan 3	17:00	0.546	0.516	0.001	0.050	0.001	0.048	0.000	0.001	0.001	0.000	0.000	0.001	99.918	0.000
Jan 3	18:00	0.281	0.264	0.000	0.025	0.000	0.025	0.000	0.000	0.000	0.000	0.000	0.000	99.959	0.000
Jan 3	19:00	0.095	0.081	0.000	0.008	0.000	0.007	0.000	0.000	0.000	0.000	0.000	0.000	99.980	0.000
Jan 3	20:00	0.000	0.000	0.004	0.000	0.004	0.000	0.000	0.005	0.004	0.000	0.000	-0.005	99.083	0.000
Jan 3	21:00	0.000	0.000	0.011	0.000	0.011	0.000	0.000	0.012	0.011	0.000	0.000	-0.012	96.786	0.000
Jan 3	22:00	0.000	0.000	0.007	0.000	0.007	0.000	0.000	0.008	0.007	0.000	0.000	-0.008	95.255	0.000
Jan 3	23:00	0.000	0.000	0.014	0.000	0.014	0.000	0.000	0.016	0.014	0.000	0.000	-0.016	92.148	0.000
Jan 4	0:00	0.000	0.000	0.013	0.000	0.013	0.000	0.000	0.014	0.013	0.000	0.000	-0.014	89.348	0.000
Jan 4	1:00	0.000	0.000	0.014	0.000	0.014	0.000	0.000	0.016	0.014	0.000	0.000	-0.016	86.263	0.000
Jan 4	2:00	0.000	0.000	0.012	0.000	0.012	0.000	0.000	0.013	0.012	0.000	0.000	-0.013	83.660	0.000
Jan 4	3:00	0.000	0.000	0.012	0.000	0.012	0.000	0.000	0.013	0.012	0.000	0.000	-0.013	81.122	0.000
Jan 4	4:00	0.000	0.000	0.011	0.000	0.011	0.000	0.000	0.012	0.011	0.000	0.000	-0.012	78.825	0.000
Jan 4	5:00	0.000	0.000	0.007	0.000	0.007	0.000	0.000	0.008	0.007	0.000	0.000	-0.008	77.250	0.000
Jan 4	6:00	0.000	0.000	0.011	0.000	0.011	0.000	0.000	0.013	0.011	0.000	0.000	-0.013	74.756	0.000
Jan 4	7:00	0.000	0.000	0.009	0.000	0.009	0.000	0.000	0.010	0.009	0.000	0.000	-0.010	72.722	0.000
Jan 4	8:00	0.019	0.019	0.008	0.002	0.008	0.000	0.000	0.009	0.008	0.000	0.000	-0.007	71.249	0.000
Jan 4	9:00	0.082	0.081	0.000	0.008	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.008	72.479	0.000
Jan 4	10:00	0.174	0.173	0.003	0.017	0.003	0.000	0.000	0.003	0.003	0.000	0.000	0.013	74.592	0.000
Jan 4	11:00	0.115	0.115	0.003	0.011	0.003	0.000	0.000	0.004	0.003	0.000	0.000	0.007	75.756	0.000
Jan 4	12:00	0.019	0.019	0.003	0.002	0.003	0.000	0.000	0.003	0.003	0.000	0.000	-0.002	75.427	0.000
Jan 4	13:00	0.108	0.108	0.002	0.010	0.002	0.000	0.000	0.002	0.002	0.000	0.000	0.008	76.707	0.000
Jan 4	14:00	0.242	0.241	0.000	0.023	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.023	80.356	0.000
Jan 4	15:00	0.036	0.036	0.000	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.003	80.898	0.000
Jan 4	16:00	0.063	0.063	0.000	0.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.006	81.853	0.000
Jan 4	17:00	0.047	0.047	0.000	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.004	82.557	0.000
Jan 4	18:00	0.037	0.037	0.000	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.004	83.119	0.000
Jan 4	19:00	0.098	0.083	0.000	0.008	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.008	84.379	0.000
Jan 4	20:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	84.379	0.000
Jan 4	21:00	0.000	0.000	0.005	0.000	0.005	0.000	0.000	0.005	0.005	0.000	0.000	-0.005	83.394	0.000
Jan 4	22:00	0.000	0.000	0.023	0.000	0.023	0.000	0.000	0.025	0.023	0.000	0.000	-0.025	78.450	0.000
Jan 4	23:00	0.000	0.000	0.024	0.000	0.024	0.000	0.000	0.027	0.024	0.000	0.000	-0.027	73.134	0.000
Jan 5	0:00	0.000	0.000	0.012	0.000	0.012	0.000	0.000	0.013	0.012	0.000	0.000	-0.013	70.553	0.000
Jan 5	1:00	0.000	0.000	0.010	0.000	0.010	0.000	0.000	0.011	0.010	0.000	0.000	-0.011	68.474	0.000
Jan 5	2:00	0.000	0.000	0.009	0.000	0.009	0.000	0.000	0.010	0.009	0.000	0.000	-0.010	66.440	0.000
Jan 5	3:00	0.000	0.000	0.009	0.000	0.009	0.000	0.000	0.010	0.009	0.000	0.000	-0.010	64.427	0.000
Jan 5	4:00	0.000	0.000	0.009	0.000	0.009	0.000	0.000	0.010	0.009	0.000	0.000	-0.010	62.393	0.000
Jan 5	5:00	0.000	0.000	0.009	0.000	0.009	0.000	0.000	0.010	0.009	0.000	0.000	-0.010	60.380	0.000
Jan 5	6:00	0.000	0.000	0.009	0.000	0.009	0.000	0.000	0.010	0.009	0.000	0.000	-0.010	58.346	0.000
Jan 5	7:00	0.000	0.000	0.009	0.000	0.009	0.000	0.000	0.010	0.009	0.000	0.000	-0.010	56.311	0.000
Jan 5	8:00	0.027	0.026	0.003	0.003	0.003	0.000	0.000	0.003	0.003	0.000	0.000	-0.000	56.241	0.000
