Max. Cap. Shortage (%)	PV (kW)	CP12240D	Converter (kW)	Initial capital	Operating cost ($/yr)	Total NPC	COE ($/kWh)	Renewable fraction	Capacity shortage	
0.0	0.24	5	0.2	$ 610	46	$ 1,192	2.061	1.00	0.00	
0.5	0.28	4	0.2	$ 600	38	$ 1,086	1.887	1.00	0.01	
1.0	0.22	4	0.2	$ 540	37	$ 1,018	1.774	1.00	0.01	
1.5	0.18	4	0.2	$ 500	37	$ 972	1.703	1.00	0.02	
2.0	0.22	4	0.1	$ 480	36	$ 937	1.639	1.00	0.02	
5.0	0.12	3	0.1	$ 330	27	$ 672	1.209	1.00	0.05	
10.0	0.10	2	0.1	$ 260	19	$ 498	0.937	1.00	0.10	
