Max. Cap. Shortage (%)	PV (kW)	CP12240D	Converter (kW)	Initial capital	Operating cost ($/yr)	Total NPC	COE ($/kWh)	Renewable fraction	Capacity shortage	
0.0	1.8	12	0.4	$ 2,688	129	$ 4,335	0.556	1.00	0.00	
0.5	1.2	12	0.4	$ 2,088	137	$ 3,833	0.494	1.00	0.01	
1.0	1.2	12	0.4	$ 2,088	137	$ 3,833	0.494	1.00	0.01	
1.5	1.2	12	0.4	$ 2,088	137	$ 3,833	0.494	1.00	0.01	
2.0	1.4	8	0.4	$ 2,072	137	$ 3,826	0.499	1.00	0.02	
5.0	0.8	12	0.4	$ 1,688	145	$ 3,546	0.467	1.00	0.03	
10.0	0.8	8	0.4	$ 1,472	144	$ 3,314	0.449	1.00	0.07	
