Date	End Time	Global Solar	Incident Solar	AC Primary Load	PV Power	AC Prim. Served	Excess Electricity	Unmet Load	Inverter Input Power	Inverter Output Power	Rectifier Input Power	Rectifier Output Power	Battery Input Power	Battery State of Charge	Battery Energy Cost
		kW/m2	kW/m2	kW	kW	kW	kW	kW	kW	kW	kW	kW	kW	%	$/kWh
Jan 1	1:00	0.000	0.000	0.019	0.000	0.019	0.000	0.000	0.021	0.019	0.000	0.000	-0.021	98.624	0.000
Jan 1	2:00	0.000	0.000	0.009	0.000	0.009	0.000	0.000	0.010	0.009	0.000	0.000	-0.010	97.996	0.000
Jan 1	3:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	97.996	0.000
Jan 1	4:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	97.996	0.000
Jan 1	5:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	97.996	0.000
Jan 1	6:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	97.996	0.000
Jan 1	7:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	97.996	0.000
Jan 1	8:00	0.022	0.022	0.000	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.003	98.160	0.000
Jan 1	9:00	0.057	0.057	0.000	0.008	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.008	98.587	0.000
Jan 1	10:00	0.115	0.114	0.000	0.016	0.000	0.002	0.000	0.000	0.000	0.000	0.000	0.015	99.358	0.000
Jan 1	11:00	0.014	0.014	0.000	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.002	99.464	0.000
Jan 1	12:00	0.007	0.007	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	99.518	0.000
Jan 1	13:00	0.120	0.120	0.000	0.017	0.000	0.012	0.000	0.000	0.000	0.000	0.000	0.005	99.785	0.000
Jan 1	14:00	0.110	0.110	0.000	0.016	0.000	0.014	0.000	0.000	0.000	0.000	0.000	0.002	99.894	0.000
Jan 1	15:00	0.047	0.047	0.000	0.007	0.000	0.006	0.000	0.000	0.000	0.000	0.000	0.001	99.948	0.000
Jan 1	16:00	0.022	0.022	0.000	0.003	0.000	0.003	0.000	0.000	0.000	0.000	0.000	0.001	99.974	0.000
Jan 1	17:00	0.069	0.069	0.000	0.010	0.000	0.010	0.000	0.000	0.000	0.000	0.000	0.000	99.987	0.000
Jan 1	18:00	0.048	0.048	0.000	0.007	0.000	0.007	0.000	0.000	0.000	0.000	0.000	0.000	99.994	0.000
Jan 1	19:00	0.079	0.072	0.000	0.010	0.000	0.010	0.000	0.000	0.000	0.000	0.000	0.000	99.997	0.000
Jan 1	20:00	0.000	0.000	0.001	0.000	0.001	0.000	0.000	0.001	0.001	0.000	0.000	-0.001	99.958	0.000
Jan 1	21:00	0.000	0.000	0.023	0.000	0.023	0.000	0.000	0.026	0.023	0.000	0.000	-0.026	98.268	0.000
Jan 1	22:00	0.000	0.000	0.028	0.000	0.028	0.000	0.000	0.031	0.028	0.000	0.000	-0.031	96.263	0.000
Jan 1	23:00	0.000	0.000	0.015	0.000	0.015	0.000	0.000	0.017	0.015	0.000	0.000	-0.017	95.163	0.000
Jan 2	0:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	95.163	0.000
Jan 2	1:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	95.163	0.000
Jan 2	2:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	95.163	0.000
Jan 2	3:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	95.163	0.000
Jan 2	4:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	95.163	0.000
Jan 2	5:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	95.163	0.000
Jan 2	6:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	95.163	0.000
Jan 2	7:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	95.163	0.000
Jan 2	8:00	0.036	0.036	0.000	0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.005	95.434	0.000
Jan 2	9:00	0.134	0.133	0.000	0.019	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.019	96.441	0.000
Jan 2	10:00	0.319	0.315	0.000	0.045	0.000	0.008	0.000	0.000	0.000	0.000	0.000	0.037	98.387	0.000
Jan 2	11:00	0.643	0.619	0.000	0.089	0.000	0.074	0.000	0.000	0.000	0.000	0.000	0.016	99.205	0.000
Jan 2	12:00	0.914	0.878	0.000	0.126	0.000	0.119	0.000	0.000	0.000	0.000	0.000	0.008	99.608	0.000
Jan 2	13:00	1.010	0.972	0.000	0.140	0.000	0.136	0.000	0.000	0.000	0.000	0.000	0.004	99.807	0.000
Jan 2	14:00	0.905	0.873	0.000	0.126	0.000	0.124	0.000	0.000	0.000	0.000	0.000	0.002	99.905	0.000
Jan 2	15:00	0.981	0.942	0.000	0.136	0.000	0.135	0.000	0.000	0.000	0.000	0.000	0.001	99.953	0.000
Jan 2	16:00	0.662	0.636	0.000	0.092	0.000	0.091	0.000	0.000	0.000	0.000	0.000	0.000	99.977	0.000
Jan 2	17:00	0.179	0.178	0.000	0.026	0.000	0.025	0.000	0.000	0.000	0.000	0.000	0.000	99.989	0.000
Jan 2	18:00	0.233	0.224	0.000	0.032	0.000	0.032	0.000	0.000	0.000	0.000	0.000	0.000	99.994	0.000
Jan 2	19:00	0.083	0.075	0.000	0.011	0.000	0.011	0.000	0.000	0.000	0.000	0.000	0.000	99.997	0.000
Jan 2	20:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	99.997	0.000
Jan 2	21:00	0.000	0.000	0.022	0.000	0.022	0.000	0.000	0.024	0.022	0.000	0.000	-0.024	98.425	0.000
Jan 2	22:00	0.000	0.000	0.028	0.000	0.028	0.000	0.000	0.031	0.028	0.000	0.000	-0.031	96.382	0.000
Jan 2	23:00	0.000	0.000	0.028	0.000	0.028	0.000	0.000	0.031	0.028	0.000	0.000	-0.031	94.338	0.000
Jan 3	0:00	0.000	0.000	0.008	0.000	0.008	0.000	0.000	0.008	0.008	0.000	0.000	-0.008	93.788	0.000
Jan 3	1:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	93.788	0.000
Jan 3	2:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	93.788	0.000
Jan 3	3:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	93.788	0.000
Jan 3	4:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	93.788	0.000
Jan 3	5:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	93.788	0.000
Jan 3	6:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	93.788	0.000
Jan 3	7:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	93.788	0.000
Jan 3	8:00	0.116	0.088	0.000	0.013	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.013	94.451	0.000
Jan 3	9:00	0.322	0.296	0.000	0.043	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.043	96.689	0.000
Jan 3	10:00	0.518	0.491	0.000	0.071	0.000	0.037	0.000	0.000	0.000	0.000	0.000	0.033	98.445	0.000
Jan 3	11:00	0.842	0.803	0.000	0.116	0.000	0.101	0.000	0.000	0.000	0.000	0.000	0.015	99.233	0.000
Jan 3	12:00	1.062	1.019	0.000	0.147	0.000	0.139	0.000	0.000	0.000	0.000	0.000	0.007	99.622	0.000
Jan 3	13:00	1.155	1.112	0.000	0.160	0.000	0.156	0.000	0.000	0.000	0.000	0.000	0.004	99.814	0.000
Jan 3	14:00	1.155	1.111	0.000	0.160	0.000	0.158	0.000	0.000	0.000	0.000	0.000	0.002	99.908	0.000
Jan 3	15:00	1.030	0.988	0.000	0.142	0.000	0.141	0.000	0.000	0.000	0.000	0.000	0.001	99.955	0.000
Jan 3	16:00	0.775	0.740	0.000	0.107	0.000	0.106	0.000	0.000	0.000	0.000	0.000	0.000	99.978	0.000
Jan 3	17:00	0.546	0.516	0.000	0.074	0.000	0.074	0.000	0.000	0.000	0.000	0.000	0.000	99.989	0.000
Jan 3	18:00	0.281	0.264	0.000	0.038	0.000	0.038	0.000	0.000	0.000	0.000	0.000	0.000	99.995	0.000
Jan 3	19:00	0.095	0.081	0.000	0.012	0.000	0.012	0.000	0.000	0.000	0.000	0.000	0.000	99.997	0.000
Jan 3	20:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	99.997	0.000
