Max. Cap. Shortage (%)	PV (kW)	CP12240D	Converter (kW)	Initial capital	Operating cost ($/yr)	Total NPC	COE ($/kWh)	Renewable fraction	Capacity shortage	
0.0	0.8	16	0.6	$ 2,024	159	$ 4,061	0.905	1.00	0.00	
0.5	0.8	16	0.4	$ 1,904	156	$ 3,895	0.870	1.00	0.01	
1.0	0.6	16	0.6	$ 1,824	158	$ 3,838	0.862	1.00	0.01	
1.5	0.6	16	0.4	$ 1,704	154	$ 3,673	0.826	1.00	0.01	
2.0	0.6	16	0.4	$ 1,704	154	$ 3,673	0.826	1.00	0.01	
5.0	0.6	12	0.4	$ 1,488	161	$ 3,544	0.808	1.00	0.03	
10.0	0.4	12	0.4	$ 1,288	149	$ 3,192	0.772	1.00	0.09	
