Date	End Time	Global Solar	Incident Solar	AC Primary Load	PV Power	AC Prim. Served	Excess Electricity	Unmet Load	Capacity Shortage	Inverter Input Power	Inverter Output Power	Rectifier Input Power	Rectifier Output Power	Battery Input Power	Battery State of Charge	Battery Energy Cost
		kW/m2	kW/m2	kW	kW	kW	kW	kW	kW	kW	kW	kW	kW	kW	%	$/kWh
Jan 1	1:00	0.000	0.000	0.009	0.000	0.009	0.000	0.000	0.000	0.010	0.009	0.000	0.000	-0.010	95.975	0.000
Jan 1	2:00	0.000	0.000	0.009	0.000	0.009	0.000	0.000	0.000	0.010	0.009	0.000	0.000	-0.010	91.906	0.000
Jan 1	3:00	0.000	0.000	0.009	0.000	0.009	0.000	0.000	0.000	0.010	0.009	0.000	0.000	-0.010	87.837	0.000
Jan 1	4:00	0.000	0.000	0.007	0.000	0.007	0.000	0.000	0.000	0.007	0.007	0.000	0.000	-0.007	84.949	0.000
Jan 1	5:00	0.000	0.000	0.012	0.000	0.012	0.000	0.000	0.000	0.013	0.012	0.000	0.000	-0.013	79.742	0.000
Jan 1	6:00	0.000	0.000	0.009	0.000	0.009	0.000	0.000	0.000	0.010	0.009	0.000	0.000	-0.010	75.673	0.000
Jan 1	7:00	0.000	0.000	0.003	0.000	0.003	0.000	0.000	0.000	0.004	0.003	0.000	0.000	-0.004	74.186	0.000
Jan 1	8:00	0.022	0.022	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	74.513	0.000
Jan 1	9:00	0.057	0.057	0.000	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.003	75.368	0.000
Jan 1	10:00	0.115	0.114	0.000	0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.005	77.097	0.000
Jan 1	11:00	0.014	0.014	0.002	0.001	0.002	0.000	0.000	0.000	0.002	0.002	0.000	0.000	-0.001	76.530	0.000
Jan 1	12:00	0.007	0.007	0.002	0.000	0.002	0.000	0.000	0.000	0.002	0.002	0.000	0.000	-0.002	75.748	0.000
Jan 1	13:00	0.120	0.120	0.001	0.006	0.001	0.000	0.000	0.000	0.001	0.001	0.000	0.000	0.005	77.212	0.000
Jan 1	14:00	0.110	0.110	0.000	0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.005	78.877	0.000
Jan 1	15:00	0.047	0.047	0.000	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.002	79.584	0.000
Jan 1	16:00	0.022	0.022	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	79.922	0.000
Jan 1	17:00	0.069	0.069	0.000	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.003	80.963	0.000
Jan 1	18:00	0.048	0.048	0.000	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.002	81.687	0.000
Jan 1	19:00	0.079	0.072	0.000	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.003	82.737	0.000
Jan 1	20:00	0.000	0.000	0.005	0.000	0.005	0.000	0.000	0.000	0.006	0.005	0.000	0.000	-0.006	80.419	0.000
Jan 1	21:00	0.000	0.000	0.014	0.000	0.014	0.000	0.000	0.000	0.016	0.014	0.000	0.000	-0.016	74.206	0.000
Jan 1	22:00	0.000	0.000	0.014	0.000	0.014	0.000	0.000	0.000	0.015	0.014	0.000	0.000	-0.015	68.168	0.000
Jan 1	23:00	0.000	0.000	0.018	0.000	0.018	0.000	0.000	0.000	0.020	0.018	0.000	0.000	-0.020	60.467	0.000
Jan 2	0:00	0.000	0.000	0.012	0.000	0.012	0.000	0.000	0.000	0.013	0.012	0.000	0.000	-0.013	55.173	0.000
Jan 2	1:00	0.000	0.000	0.011	0.000	0.011	0.000	0.000	0.000	0.012	0.011	0.000	0.000	-0.012	50.491	0.000
Jan 2	2:00	0.000	0.000	0.010	0.000	0.010	0.000	0.000	0.000	0.011	0.010	0.000	0.000	-0.011	46.204	0.000
Jan 2	3:00	0.000	0.000	0.009	0.000	0.009	0.000	0.000	0.000	0.010	0.009	0.000	0.000	-0.010	42.134	0.000
Jan 2	4:00	0.000	0.000	0.004	0.000	0.004	0.000	0.000	0.000	0.005	0.004	0.000	0.000	-0.005	40.253	0.000
Jan 2	5:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	40.253	0.000
Jan 2	6:00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	40.253	0.000
Jan 2	7:00	0.000	0.000	0.003	0.000	0.001	0.000	0.003	0.003	0.001	0.001	0.000	0.000	-0.001	40.000	0.000
Jan 2	8:00	0.036	0.036	0.011	0.002	0.002	0.000	0.009	0.011	0.002	0.002	0.000	0.000	0.000	40.000	0.000
Jan 2	9:00	0.134	0.133	0.001	0.006	0.001	0.000	0.000	0.000	0.001	0.001	0.000	0.000	0.005	41.630	0.000
Jan 2	10:00	0.319	0.315	0.000	0.015	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.015	46.383	0.000
Jan 2	11:00	0.643	0.619	0.005	0.030	0.005	0.000	0.000	0.000	0.005	0.005	0.000	0.000	0.025	54.166	0.000
Jan 2	12:00	0.914	0.878	0.004	0.042	0.004	0.000	0.000	0.000	0.004	0.004	0.000	0.000	0.038	66.065	0.000
Jan 2	13:00	1.010	0.972	0.005	0.047	0.005	0.000	0.000	0.000	0.005	0.005	0.000	0.000	0.041	79.076	0.000
Jan 2	14:00	0.905	0.873	0.001	0.042	0.001	0.005	0.000	0.000	0.001	0.001	0.000	0.000	0.035	90.187	0.000
Jan 2	15:00	0.981	0.942	0.003	0.045	0.003	0.026	0.000	0.000	0.004	0.003	0.000	0.000	0.016	95.162	0.000
Jan 2	16:00	0.662	0.636	0.003	0.031	0.003	0.020	0.000	0.000	0.003	0.003	0.000	0.000	0.008	97.615	0.000
Jan 2	17:00	0.179	0.178	0.000	0.009	0.000	0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.004	98.824	0.000
Jan 2	18:00	0.233	0.224	0.000	0.011	0.000	0.009	0.000	0.000	0.000	0.000	0.000	0.000	0.002	99.420	0.000
Jan 2	19:00	0.083	0.075	0.000	0.004	0.000	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.001	99.714	0.000
Jan 2	20:00	0.000	0.000	0.001	0.000	0.001	0.000	0.000	0.000	0.001	0.001	0.000	0.000	-0.001	99.495	0.000
Jan 2	21:00	0.000	0.000	0.007	0.000	0.007	0.000	0.000	0.000	0.007	0.007	0.000	0.000	-0.007	96.608	0.000
Jan 2	22:00	0.000	0.000	0.007	0.000	0.007	0.000	0.000	0.000	0.008	0.007	0.000	0.000	-0.008	93.633	0.000
Jan 2	23:00	0.000	0.000	0.022	0.000	0.022	0.000	0.000	0.000	0.024	0.022	0.000	0.000	-0.024	84.138	0.000
Jan 3	0:00	0.000	0.000	0.012	0.000	0.012	0.000	0.000	0.000	0.014	0.012	0.000	0.000	-0.014	78.713	0.000
Jan 3	1:00	0.000	0.000	0.011	0.000	0.011	0.000	0.000	0.000	0.012	0.011	0.000	0.000	-0.012	74.075	0.000
Jan 3	2:00	0.000	0.000	0.010	0.000	0.010	0.000	0.000	0.000	0.011	0.010	0.000	0.000	-0.011	69.568	0.000
Jan 3	3:00	0.000	0.000	0.010	0.000	0.010	0.000	0.000	0.000	0.011	0.010	0.000	0.000	-0.011	65.062	0.000
Jan 3	4:00	0.000	0.000	0.010	0.000	0.010	0.000	0.000	0.000	0.011	0.010	0.000	0.000	-0.011	60.599	0.000
Jan 3	5:00	0.000	0.000	0.011	0.000	0.011	0.000	0.000	0.000	0.012	0.011	0.000	0.000	-0.012	55.961	0.000
Jan 3	6:00	0.000	0.000	0.010	0.000	0.010	0.000	0.000	0.000	0.011	0.010	0.000	0.000	-0.011	51.454	0.000
Jan 3	7:00	0.000	0.000	0.006	0.000	0.006	0.000	0.000	0.000	0.007	0.006	0.000	0.000	-0.007	48.785	0.000
Jan 3	8:00	0.116	0.088	0.000	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.004	50.112	0.000
Jan 3	9:00	0.322	0.296	0.000	0.014	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.014	54.589	0.000
Jan 3	10:00	0.518	0.491	0.000	0.024	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.024	62.009	0.000
Jan 3	11:00	0.842	0.803	0.000	0.039	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.039	74.149	0.000
Jan 3	12:00	1.062	1.019	0.000	0.049	0.000	0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.044	88.066	0.000
Jan 3	13:00	1.155	1.112	0.000	0.053	0.000	0.034	0.000	0.000	0.000	0.000	0.000	0.000	0.019	94.116	0.000
Jan 3	14:00	1.155	1.111	0.000	0.053	0.000	0.044	0.000	0.000	0.000	0.000	0.000	0.000	0.009	97.099	0.000
Jan 3	15:00	1.030	0.988	0.002	0.047	0.002	0.040	0.000	0.000	0.002	0.002	0.000	0.000	0.005	98.570	0.000
Jan 3	16:00	0.775	0.740	0.002	0.036	0.002	0.031	0.000	0.000	0.002	0.002	0.000	0.000	0.002	99.295	0.000
Jan 3	17:00	0.546	0.516	0.001	0.025	0.001	0.023	0.000	0.000	0.001	0.001	0.000	0.000	0.001	99.652	0.000
Jan 3	18:00	0.281	0.264	0.000	0.013	0.000	0.012	0.000	0.000	0.000	0.000	0.000	0.000	0.001	99.829	0.000
Jan 3	19:00	0.095	0.081	0.000	0.004	0.000	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	99.916	0.000
Jan 3	20:00	0.000	0.000	0.004	0.000	0.004	0.000	0.000	0.000	0.005	0.004	0.000	0.000	-0.005	98.122	0.000
Jan 3	21:00	0.000	0.000	0.011	0.000	0.011	0.000	0.000	0.000	0.012	0.011	0.000	0.000	-0.012	93.528	0.000
Jan 3	22:00	0.000	0.000	0.007	0.000	0.007	0.000	0.000	0.000	0.008	0.007	0.000	0.000	-0.008	90.465	0.000
Jan 3	23:00	0.000	0.000	0.014	0.000	0.014	0.000	0.000	0.000	0.016	0.014	0.000	0.000	-0.016	84.252	0.000
Jan 4	0:00	0.000	0.000	0.013	0.000	0.013	0.000	0.000	0.000	0.014	0.013	0.000	0.000	-0.014	78.651	0.000
Jan 4	1:00	0.000	0.000	0.014	0.000	0.014	0.000	0.000	0.000	0.016	0.014	0.000	0.000	-0.016	72.482	0.000
Jan 4	2:00	0.000	0.000	0.012	0.000	0.012	0.000	0.000	0.000	0.013	0.012	0.000	0.000	-0.013	67.276	0.000
Jan 4	3:00	0.000	0.000	0.012	0.000	0.012	0.000	0.000	0.000	0.013	0.012	0.000	0.000	-0.013	62.200	0.000
