Max. Cap. Shortage (%)	PV (kW)	CP12240D	Converter (kW)	Initial capital	Operating cost ($/yr)	Total NPC	COE ($/kWh)	Renewable fraction	Capacity shortage	
0.0	0.30	10	0.2	$ 920	86	$ 2,019	0.803	1.00	0.00	
0.5	0.28	9	0.2	$ 850	78	$ 1,845	0.736	1.00	0.01	
1.0	0.28	8	0.2	$ 800	70	$ 1,693	0.679	1.00	0.01	
1.5	0.30	7	0.2	$ 770	62	$ 1,564	0.628	1.00	0.01	
2.0	0.30	6	0.2	$ 720	54	$ 1,412	0.570	1.00	0.02	
5.0	0.28	4	0.2	$ 600	39	$ 1,098	0.452	1.00	0.05	
10.0	0.28	3	0.1	$ 490	37	$ 962	0.408	1.00	0.09	
