Max. Cap. Shortage (%)	PV (kW)	CP12240D	Converter (kW)	Initial capital	Operating cost ($/yr)	Total NPC	COE ($/kWh)	Renewable fraction	Capacity shortage	
0.0	0.26	3	0.1	$ 470	28	$ 831	2.467	1.00	0.00	
0.5	0.20	3	0.1	$ 410	28	$ 763	2.276	1.00	0.01	
1.0	0.28	2	0.1	$ 440	21	$ 702	2.104	1.00	0.01	
1.5	0.24	2	0.1	$ 400	20	$ 657	1.975	1.00	0.01	
2.0	0.20	2	0.1	$ 360	20	$ 611	1.845	1.00	0.02	
5.0	0.12	2	0.1	$ 280	19	$ 520	1.600	1.00	0.04	
10.0	0.18	1	0.1	$ 290	11	$ 437	1.411	1.00	0.10	
