Max. Cap. Shortage (%)	PV (kW)	CP12240D	Converter (kW)	Initial capital	Operating cost ($/yr)	Total NPC	COE ($/kWh)	Renewable fraction	Capacity shortage	
0.0	0.26	9	0.2	$ 830	78	$ 1,822	1.169	1.00	0.00	
0.5	0.30	6	0.2	$ 720	54	$ 1,412	0.910	1.00	0.00	
1.0	0.30	5	0.2	$ 670	46	$ 1,261	0.815	1.00	0.01	
1.5	0.26	5	0.2	$ 630	46	$ 1,215	0.789	1.00	0.01	
2.0	0.30	4	0.2	$ 620	38	$ 1,109	0.723	1.00	0.02	
5.0	0.28	3	0.2	$ 550	30	$ 934	0.624	1.00	0.05	
10.0	0.24	3	0.1	$ 450	28	$ 808	0.555	1.00	0.10	
