Max. Cap. Shortage (%)	PV (kW)	CP12240D	Converter (kW)	Initial capital	Operating cost ($/yr)	Total NPC	COE ($/kWh)	Renewable fraction	Capacity shortage	
0.0	0.12	1	0.1	$ 230	11	$ 369	1.142	1.00	0.00	
0.5	0.10	1	0.1	$ 210	11	$ 346	1.074	1.00	0.00	
1.0	0.08	1	0.1	$ 190	10	$ 323	1.006	1.00	0.01	
1.5	0.06	1	0.1	$ 170	10	$ 300	0.942	1.00	0.01	
2.0	0.06	1	0.1	$ 170	10	$ 300	0.942	1.00	0.01	
5.0	0.04	1	0.1	$ 150	10	$ 278	0.892	1.00	0.04	
10.0	0.04	1	0.1	$ 150	10	$ 278	0.892	1.00	0.04	
