Max. Cap. Shortage (%)	PV (kW)	CP12240D	Converter (kW)	Initial capital	Operating cost ($/yr)	Total NPC	COE ($/kWh)	Renewable fraction	Capacity shortage	
0.0	0.06	2	0.2	$ 280	20	$ 532	1.742	1.00	0.00	
0.5	0.06	2	0.1	$ 220	18	$ 452	1.483	1.00	0.00	
1.0	0.14	1	0.1	$ 250	11	$ 391	1.288	1.00	0.01	
1.5	0.10	1	0.1	$ 210	11	$ 346	1.143	1.00	0.01	
2.0	0.08	1	0.1	$ 190	10	$ 323	1.070	1.00	0.02	
5.0	0.04	1	0.1	$ 150	10	$ 278	0.937	1.00	0.04	
10.0	0.04	1	0.1	$ 150	10	$ 278	0.937	1.00	0.04	
