Max. Cap. Shortage (%)	PV (kW)	CP12240D	Converter (kW)	Initial capital	Operating cost ($/yr)	Total NPC	COE ($/kWh)	Renewable fraction	Capacity shortage	
0.0	0.12	2	0.1	$ 280	19	$ 520	0.775	1.00	0.00	
0.5	0.20	1	0.1	$ 310	12	$ 460	0.687	1.00	0.01	
1.0	0.16	1	0.1	$ 270	12	$ 417	0.626	1.00	0.01	
1.5	0.14	1	0.1	$ 250	12	$ 400	0.601	1.00	0.01	
2.0	0.12	1	0.1	$ 230	12	$ 384	0.579	1.00	0.02	
5.0	0.08	1	0.1	$ 190	13	$ 355	0.544	1.00	0.04	
10.0	0.06	1	0.1	$ 170	14	$ 343	0.538	1.00	0.06	
